Time;3% PCA;3% KMeans;5% PCA;5% KMeans;10% PCA;10% KMeans;15% PCA;15% KMeans;50% PCA;50% KMeans;75% PCA;75% KMeans
Indian Pines;0.19258403778076172;1.6598742008209229;0.23839902877807617;2.648564100265503;0.15970110893249512;2.767453193664551;0.2246088981628418;2.94909405708313;0.47416114807128906;5.771129846572876;0.6671431064605713;6.403595924377441
Indian Pines corrected;0.15813088417053223;1.766693115234375;0.18510913848876953;2.348708152770996;0.17510604858398438;2.508463144302368;0.1828780174255371;3.181123971939087;0.43498897552490234;5.137099027633667;0.5906486511230469;6.506659030914307
Salinas;1.3343019485473633;1.9164550304412842;1.5577771663665771;2.165134906768799;1.5546879768371582;2.7115089893341064;1.5996308326721191;3.3212411403656006;3.436070680618286;8.406473875045776;4.8989081382751465;11.473860263824463
Salinas corrected;1.249831199645996;1.7905399799346924;1.3892478942871094;1.4989759922027588;1.8491919040679932;2.0166139602661133;1.3348839282989502;2.425428867340088;2.844748020172119;5.7511467933654785;4.27773904800415;8.32317590713501
Botswana;3.3900458812713623;15.906044006347656;3.072643756866455;22.417392015457153;3.721579074859619;30.49994397163391;4.689138889312744;31.343824863433838;8.270816087722778;59.94825196266174;15.445739030838013;80.47763395309448
Kennedy Space Centre;3.7220981121063232;7.608357906341553;3.2547340393066406;8.460757970809937;4.155929088592529;9.028424978256226;3.5713090896606445;12.123273849487305;8.115224838256836;25.211368083953857;12.739737033843994;34.932461977005005
Salinas-A;0.0652627944946289;0.17044925689697266;0.07487368583679199;0.1296379566192627;0.06883406639099121;0.17835497856140137;0.07341980934143066;0.1974189281463623;0.15746712684631348;0.38056302070617676;0.21121692657470703;0.5484459400177002
Salinas-A corrected;0.06804394721984863;0.1341402530670166;0.0687417984008789;0.15104913711547852;0.0932931900024414;0.15476489067077637;0.0652170181274414;0.17929697036743164;0.13187885284423828;0.3710970878601074;0.1830291748046875;0.5035760402679443
Pavia Centre;6.9069108963012695;35.05139899253845;5.760019779205322;34.47613215446472;6.2731640338897705;34.036802768707275;5.530437231063843;40.92759966850281;14.396932125091553;73.60969519615173;17.616793155670166;89.60930490493774
Pavia University;1.2907938957214355;7.679362058639526;1.1780049800872803;7.50959587097168;1.3151118755340576;7.784877061843872;1.0783371925354004;8.26582670211792;2.3662760257720947;12.618863821029663;3.482449769973755;20.66526985168457
